Title,Subject,List,Send_Date,Send_Weekday,Total_Recipients,Successful_Deliveries,Soft_Bounces,Hard_Bounces,Total_Bounces,Times_Forwarded,Forwarded_Opens,Unique_Opens,Open_Rate,Total_Opens,Unique_Clicks,Click_Rate,Total_Clicks,Unsubscribes,Abuse_Complaints
MyDomino Effect Beta Testers Invite | Winner,Guess what we've been up to ...,MyDomino Company Newsletter,3/23/17 15:00,Thursday,1902,1901,1,0,1,0,0,221,11.63,286,18,0.95,19,8,4
MyDomino Effect Beta Testers Invite | Combo 1,Guess what we've been up to ...,MyDomino Company Newsletter,3/23/17 11:00,Thursday,634,632,1,1,2,0,0,101,15.98,134,13,2.06,13,4,1
MyDomino Effect Beta Testers Invite | Combo 2,Take the new MyDomino for a spin!,MyDomino Company Newsletter,3/23/17 11:00,Thursday,633,633,0,0,0,0,0,80,12.64,105,7,1.11,9,3,1
FarmFresh Offer CA Newsletter List Only 3-16-17 | Winner,May the fruit (and vegetables) be with you,MyDomino Newsletter CA Only,3/16/17 12:59,Thursday,523,521,2,0,2,0,0,78,14.97,92,4,0.77,4,4,0
FarmFresh Offer CA Newsletter List Only 3-16-17 | Combo 2,"The broccoli is coming, the broccoli is coming ",MyDomino Newsletter CA Only,3/16/17 11:00,Thursday,174,174,0,0,0,0,0,20,11.49,25,0,0,0,1,0
FarmFresh Offer CA Newsletter List Only 3-16-17 | Combo 1,May the fruit (and vegetables) be with you,MyDomino Newsletter CA Only,3/16/17 11:00,Thursday,174,174,0,0,0,0,0,27,15.52,33,0,0,0,3,0
MyDomino Effect Newsletter 3/9/17 (external) | Winner,How will Daylight Saving Time affect your solar power?,MyDomino Company Newsletter,9-Mar-17,Thursday,1909,1906,1,2,3,0,0,311,16.32,412,25,1.31,33,7,3
MyDomino Effect Newsletter 3/9/17 (external) | Combo 1,How will Daylight Saving Time affect your solar power?,MyDomino Company Newsletter,9-Mar-17,Thursday,636,633,2,1,3,0,0,103,16.27,159,9,1.42,15,4,0
MyDomino Effect Newsletter 3/9/17 (external),,MyDomino Company Newsletter,9-Mar-17,Thursday,3181,3175,3,3,6,0,0,479,15.09,674,38,1.2,0,13,3
MyDomino Effect Newsletter 3/9/17 (external) | Combo 2,You're wasting money and energy by not doing this simple thing ,MyDomino Company Newsletter,9-Mar-17,Thursday,636,636,0,0,0,0,0,65,10.22,103,4,0.63,4,2,0
MyDomino Effect Newsletter 2/23/17 (external) | Combo 1,What you need to know before joining a CSA,MyDomino Company Newsletter,23-Feb-17,Thursday,641,639,1,1,2,0,0,116,18.15,159,14,2.19,25,2,0
MyDomino Effect Newsletter 2/23/17 (external),,MyDomino Company Newsletter,23-Feb-17,Thursday,3205,3197,5,3,8,0,0,577,18.05,848,95,2.97,0,17,4
MyDomino Effect Newsletter 2/23/17 (external) | Combo 2,How clean are electric cars?,MyDomino Company Newsletter,23-Feb-17,Thursday,641,638,2,1,3,0,0,115,18.03,151,18,2.82,21,3,0
MyDomino Effect Newsletter 2/23/17 (external) | Winner,How clean are electric cars?,MyDomino Company Newsletter,23-Feb-17,Thursday,1923,1920,2,1,3,0,0,346,18.02,538,63,3.28,78,12,4
MyDomino Effect Newsletter 2/9/17 (external) | Combo 2,This is how you can save money by declaring your love,MyDomino Company Newsletter,9-Feb-17,Thursday,637,636,1,0,1,0,0,133,20.91,242,9,1.42,19,2,2
MyDomino Effect Newsletter 2/9/17 (external),,MyDomino Company Newsletter,9-Feb-17,Thursday,3189,3179,8,2,10,0,0,527,16.58,749,37,1.16,0,17,2
MyDomino Effect Newsletter 2/9/17 (external) | Combo 1,6 food trends of 2017,MyDomino Company Newsletter,9-Feb-17,Thursday,638,636,2,0,2,0,0,101,15.88,132,8,1.26,10,3,0
MyDomino Effect Newsletter 2/9/17 (external) | Winner,This is how you can save money by declaring your love,MyDomino Company Newsletter,9-Feb-17,Thursday,1914,1907,5,2,7,0,0,293,15.36,375,20,1.05,29,12,0
MyDomino Effect Newsletter 1/26/17 (external) | Combo 2,How much can you save with an electric car?,MyDomino Company Newsletter,26-Jan-17,Thursday,645,645,0,0,0,0,0,139,21.55,187,15,2.33,23,5,0
