Title,Subject,List,Send_Date,Send_Weekday,Total_Recipients,Successful_Deliveries,Soft_Bounces,Hard_Bounces,Total_Bounces,Times_Forwarded,Forwarded_Opens,Unique_Opens,Open_Rate,Total_Opens,Unique_Clicks,Click_Rate,Total_Clicks,Unsubscribes,Abuse_Complaints,Times_Liked_on_Facebook,Folder_Id,Unique_Id,Analytics_ROI,Campaign_Cost,Revenue_Created,Visits,New_Visits,Pages/Visit,Bounce_Rate,Time_on_Site,Goal_Conversion_Rate,Per_Visit_Goal_Value,Transactions,Ecommerce_Conversion_Rate,Per_Visit_Value,Average_Value
"Greenbiz Group 1, first ask | Winner","Be an industry leader in sustainability, try MyDomino for free today!",Greenbiz attendees,3/9/17 18:54,Thursday,62,62,0,0,0,0,0,19,30.65,22,0,0,0,2,0,0,0,d78b351995,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hoovers email 1 | Winner,Boost employee engagement through sustainability,Hoovers,3/9/17 18:29,Thursday,192,153,8,31,39,0,0,11,7.19,13,0,0,0,2,0,0,0,86dd598c34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hoovers email 1,,Hoovers,3/9/17 16:29,Thursday,383,300,16,67,83,0,0,26,8.67,30,0,0,0,2,0,0,6661,cc184845e3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hoovers email 1 | Combo 1,Want to learn a new way to boost employee engagement?,Hoovers,3/9/17 16:29,Thursday,96,74,4,18,22,0,0,6,8.11,6,0,0,0,0,0,0,0,e230e28559,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hoovers email 1 | Combo 2,Boost employee engagement through sustainability,Hoovers,3/9/17 16:29,Thursday,95,73,4,18,22,0,0,9,12.33,11,0,0,0,0,0,0,0,7c4206870e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 1, first ask",,Greenbiz attendees,3/9/17 14:54,Thursday,123,123,0,0,0,0,0,38,30.89,48,1,0.81,0,3,0,0,6621,640cb1af79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 1, first ask | Combo 1","Be an industry leader in sustainability, try MyDomino for free today!",Greenbiz attendees,3/9/17 14:54,Thursday,31,31,0,0,0,0,0,8,25.81,12,0,0,0,0,0,0,0,bdcb7cc975,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 1, first ask | Combo 2","Be an industry leader in sustainability, try MyDomino for free today!",Greenbiz attendees,3/9/17 14:54,Thursday,30,30,0,0,0,0,0,11,36.67,14,1,3.33,1,1,0,0,0,bb67bee815,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 3, Email 2",Sustainability and company culture,Greenbiz attendees,3/8/17 14:14,Wednesday,69,65,4,0,4,0,0,22,33.85,26,0,0,0,1,0,0,6621,966102f26a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 2, Email 2",Sustainability and company culture,Greenbiz attendees,3/7/17 11:30,Tuesday,251,239,12,0,12,0,0,72,30.13,98,2,0.84,2,8,0,0,6621,824d6e3dc3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Greenbiz Group 4, Email 1",4 ways to engage your employees in sustainability,Greenbiz attendees,3/3/17 13:11,Friday,91,66,4,21,25,0,0,19,28.79,91,6,9.09,10,1,0,0,6621,b5e222e4a5,0.00%,$0.08 ,$0.00 ,4,4,1,100,0:00,0.00%,$0.00 ,0,0.00%,$0.00 ,$0.00 
"Greenbiz Group 1, Email 2",Sustainability and company culture,Greenbiz attendees,3/2/17 13:39,Thursday,126,126,0,0,0,0,0,50,39.68,80,7,5.56,9,3,0,0,6621,41f96036e8,0.00%,$0.11 ,$0.00 ,2,2,1,100,0:00,0.00%,$0.00 ,0,0.00%,$0.00 ,$0.00 
"Greenbiz Group 3, Email 1",4 ways to engage your employees in sustainability,Greenbiz attendees,2/28/17 16:31,Tuesday,129,97,4,28,32,0,0,26,26.8,56,5,5.15,10,1,0,0,6621,5379d90085,0.00%,$0.11 ,$0.00 ,8,7,1.625,75,0:46,0.00%,$0.00 ,0,0.00%,$0.00 ,$0.00 
"Greenbiz Group 2, Email 1",4 ways to engage your employees in sustainability,Greenbiz attendees,2/28/17 10:25,Tuesday,183,145,8,30,38,0,0,43,29.66,85,4,2.76,4,2,0,0,6621,ee59ee62e6,0.00%,$0.15 ,$0.00 ,5,5,1,100,0:00,0.00%,$0.00 ,0,0.00%,$0.00 ,$0.00 
"Greenbiz Group 1, Email 1",4 ways to engage your employees in sustainability,Greenbiz attendees,2/24/17 11:29,Friday,131,129,2,0,2,0,0,53,41.09,92,13,10.08,19,3,0,0,6621,784afee092,0.00%,$0.11 ,$0.00 ,19,15,1.263157895,78.95,1:40,0.00%,$0.00 ,0,0.00%,$0.00 ,$0.00 
